date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:18:15	477992/477992	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2256ec82d4ec0dd1535332d7eac8e8b823%22	https://www.yunajong.com/api/	./yunajong-full/www.yunajong.com/api/index.html	(from https://www.yunajong.com/)
16:18:15	478032/478032	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221c6a0c7cd2bdd9935bafed4eaf5a3d6f%22	https://www.yunajong.com/envelope/	./yunajong-full/www.yunajong.com/envelope/index.html	(from https://www.yunajong.com/)
16:18:15	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Dec%202025%2007:18:15%20GMT	https://www.yunajong.com/feed.xml	./yunajong-full/www.yunajong.com/feed.16.delayed	(from https://www.yunajong.com/)
16:18:16	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Dec%202025%2007:18:16%20GMT	https://www.yunajong.com/decodeURIComponent(e	./yunajong-full/www.yunajong.com/decodeURIComponent(e.17.delayed	(from https://www.yunajong.com/)
16:18:18	1125353/1125353	---M--	200	added ('OK')	application/pdf	etag:%22bbce9adf1f29103716286b1fdd201918%22	https://www.yunajong.com/_files/ugd/864260_3bf87d8f717a4953befd838502f58b6a.pdf	./yunajong-full/www.yunajong.com/_files/ugd/ui-flow_min.pdf_;%20filename_=UTF-8''ui-flow_min.pdf	(from https://www.yunajong.com/slot-game-ui-redesign)
16:18:20	46102/46102	---M--	200	added ('OK')	application/pdf	etag:%2282b44d55245b593dd0ecab3e7feccaa4%22	https://www.yunajong.com/_files/ugd/864260_fa0d4889182043989fe91323177996c7.pdf	./yunajong-full/www.yunajong.com/_files/ugd/retailer_UI%20function.pdf_;%20filename_=UTF-8''retailer_UI%20function.pdf	(from https://www.yunajong.com/slot-game-ui-redesign)
16:19:20	3797906/3797906	---M--	200	added ('OK')	application/pdf	etag:%224fd07df21ccacd98989a1e77596a8cba%22	https://www.yunajong.com/_files/ugd/864260_149e5b56331b4a60a808ce42e5793d49.pdf	./yunajong-full/www.yunajong.com/_files/ugd/Function%20%26%20User%20Story%20Map.pdf_;%20filename_=UTF-8''Function%20%26%20User%20Story%20Map.pdf	(from https://www.yunajong.com/slot-game-ui-redesign)
16:19:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Dec%202025%2007:19:20%20GMT	https://www.yunajong.com/_files/ugd/864260_01346aa81b3c418bb6d30d321f649342.pdf	./yunajong-full/www.yunajong.com/_files/ugd/864260_01346aa81b3c418bb6d30d321f649342.1e.delayed	(from https://www.yunajong.com/slot-game-ui-redesign)
16:21:08	3156451/3156451	---M--	200	added ('OK')	application/pdf	etag:%22857eb2d133823d6dca42ec132e0b2d2d%22	https://www.yunajong.com/_files/ugd/864260_577ebbf3680b4a84b12633c53b58d109.pdf	./yunajong-full/www.yunajong.com/_files/ugd/MockupTesting.pdf_;%20filename_=UTF-8''MockupTesting.pdf	(from https://www.yunajong.com/slot-game-ui-redesign)
16:22:15	10541478/10541478	---M--	200	added ('OK')	application/pdf	etag:%22755f941e8417865183c4387bcb8be116%22	https://www.yunajong.com/_files/ugd/864260_3d88e231324e4e838ae0ff0f5440bdc8.pdf	./yunajong-full/www.yunajong.com/_files/ugd/User%20journey%20map.pdf_;%20filename_=UTF-8''User%20journey%20map.pdf	(from https://www.yunajong.com/slot-game-ui-redesign)
16:22:16	884717/884717	---M--	200	added ('OK')	application/pdf	etag:%220bfcbba70ba5fad12e8f9c9f1b382862%22	https://www.yunajong.com/_files/ugd/864260_3610165dfdc548ae9398c7e09dfc2eda.pdf	./yunajong-full/www.yunajong.com/_files/ugd/Spring%20Campaign%20KV%20Mood%20Board.pdf_;%20filename_=UTF-8''Spring%20Campaign%20KV%20Mood%20Board.pdf	(from https://www.yunajong.com/visual-strategy-ai-driven-design)
16:22:16	6686363/6686363	---M--	200	added ('OK')	application/pdf	etag:%2254e99540c5be83860ef96fbbb464d478%22	https://www.yunajong.com/_files/ugd/864260_f6b0ca1d67a741049cfb66dbe9d6b584.pdf	./yunajong-full/www.yunajong.com/_files/ugd/Design%20Language.pdf_;%20filename_=UTF-8''Design%20Language.pdf	(from https://www.yunajong.com/design-system-for-games)
16:22:17	12876940/12876940	---M--	200	added ('OK')	application/pdf	etag:%2264c6aa738dc1e896726fc4cceee5124e%22	https://www.yunajong.com/_files/ugd/864260_f65db90fc20d403396cd9de262a9d89f.pdf	./yunajong-full/www.yunajong.com/_files/ugd/W-UserA.pdf_;%20filename_=UTF-8''W-UserA.pdf	(from https://www.yunajong.com/slot-game-ui-redesign)
16:22:17	867201/867201	---M--	200	added ('OK')	application/pdf	etag:%22b6f09eafbf55ae762d24b8f64d38de54%22	https://www.yunajong.com/_files/ugd/864260_f9d6cc3094dc4d2a8a3c1d628a3db585.pdf	./yunajong-full/www.yunajong.com/_files/ugd/Spring%20Campaign%20KV%20Mood%20Board.pdf_;%20filename_=UTF-8''Spring%20Campaign%20KV%20Mood%20Board-2.pdf	(from https://www.yunajong.com/visual-strategy-ai-driven-design)
16:22:19	659583/659583	---M--	200	added ('OK')	application/pdf	etag:%22719cf33e8d21aeb4c54e083e535d460c%22	https://www.yunajong.com/_files/ugd/864260_c816905bac7d4bfb9716ce92936cc8ea.pdf	./yunajong-full/www.yunajong.com/_files/ugd/Competitor%20Analysis.pdf_;%20filename_=UTF-8''Competitor%20Analysis.pdf	(from https://www.yunajong.com/visual-strategy-ai-driven-design)
16:22:19	1833490/1833490	---M--	200	added ('OK')	application/pdf	etag:%227cfdecbfddd6711df388ccb50630fb3d%22	https://www.yunajong.com/_files/ugd/864260_ac7b4122ddcd48c68898abc53961ecda.pdf	./yunajong-full/www.yunajong.com/_files/ugd/Golden%20Summer%20KV%20Mood%20Board.pdf_;%20filename_=UTF-8''Golden%20Summer%20KV%20Mood%20Board.pdf	(from https://www.yunajong.com/visual-strategy-ai-driven-design)
16:22:22	321184/321184	---M--	200	added ('OK')	application/pdf	etag:%2254f940dee9af345619c34787b4c699be%22	https://www.yunajong.com/_files/ugd/864260_317c11b32c524f55a239df16e9a2c231.pdf	./yunajong-full/www.yunajong.com/_files/ugd/High-Count%20Autoplay%20Usage.pdf_;%20filename_=UTF-8''High-Count%20Autoplay%20Usage.pdf	(from https://www.yunajong.com/game-ux-optimization)
16:22:23	3114347/3114347	---M--	200	added ('OK')	application/pdf	etag:%22f5fd60e770d02ad43bedd45e0f7e97c0%22	https://www.yunajong.com/_files/ugd/864260_f9b1180881714c8a967917ab11d6c09f.pdf	./yunajong-full/www.yunajong.com/_files/ugd/Data.pdf_;%20filename_=UTF-8''Data.pdf	(from https://www.yunajong.com/game-ux-optimization)
16:22:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Dec%202025%2007:22:23%20GMT	https://www.yunajong.com/_files/ugd/864260_06fe448c11454b8588f1349e429b3e31.pdf	./yunajong-full/www.yunajong.com/_files/ugd/864260_06fe448c11454b8588f1349e429b3e31.28.delayed	(from https://www.yunajong.com/customer-hub)
16:22:24	0/-1	---M--	301	error ('')			https://www.yunajong.com/_files/ugd/864260_06fe448c11454b8588f1349e429b3e31.pdf	./yunajong-full/www.yunajong.com/_files/ugd/864260_06fe448c11454b8588f1349e429b3e31.29.delayed	(from https://www.yunajong.com/customer-hub)
16:22:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Dec%202025%2007:22:25%20GMT	https://www.yunajong.com/_files/ugd/864260_baa89d7f1fc84acea2e2c7579b28fe12.pdf	./yunajong-full/www.yunajong.com/_files/ugd/864260_baa89d7f1fc84acea2e2c7579b28fe12.2b.delayed	(from https://www.yunajong.com/customer-lobby-cms-design)
16:22:26	0/-1	---M--	301	error ('')			https://www.yunajong.com/_files/ugd/864260_06fe448c11454b8588f1349e429b3e31.pdf	./yunajong-full/www.yunajong.com/_files/ugd/864260_06fe448c11454b8588f1349e429b3e31.2c.delayed	(from https://www.yunajong.com/customer-lobby-cms-design)
16:22:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Dec%202025%2007:22:26%20GMT	https://www.yunajong.com/_files/ugd/864260_0926a447be4e46b3b8a84bca37576ab8.pdf	./yunajong-full/www.yunajong.com/_files/ugd/864260_0926a447be4e46b3b8a84bca37576ab8.2d.delayed	(from https://www.yunajong.com/customer-lobby-cms-design)
16:22:27	0/-1	---M--	301	error ('')			https://www.yunajong.com/_files/ugd/864260_0926a447be4e46b3b8a84bca37576ab8.pdf	./yunajong-full/www.yunajong.com/_files/ugd/864260_0926a447be4e46b3b8a84bca37576ab8.2e.delayed	(from https://www.yunajong.com/customer-lobby-cms-design)
16:22:27	5628930/5628930	---M--	200	added ('OK')	application/pdf	etag:%22c28fd5df75d5861db4643c3fee0b9519%22	https://www.yunajong.com/_files/ugd/864260_72a07a9cd8454ac5b4b5fb87a8169c3e.pdf	./yunajong-full/www.yunajong.com/_files/ugd/_YunaJ-Trigger%20Bonus%20Feature%20Sounds%20Testing-270725-090356.pdf_;%20filename_=UTF-8''_YunaJ-Trigger%20Bonus%20Feature%20Sounds%20Testing-270725-090356.pdf	(from https://www.yunajong.com/game-ux-optimization)
16:22:27	2207/2207	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Dec%202025%2007:22:27%20GMT	https://www.yunajong.com/%22https://static.wixstatic.com/media/864260_016ae6f7698a49088e1d3a4814867aa2~mv2.jpg/v1/fill/w_1280,h_720,enc_auto/file.jpeg%22	./yunajong-full/www.yunajong.com/_https_/static.wixstatic.com/media/864260_016ae6f7698a49088e1d3a4814867aa2_mv2.jpg/v1/fill/w_1280,h_720,enc_auto/file.2f.delayed	(from https://www.yunajong.com/3d-virtual-fitting-design)
16:22:29	95009/95009	---M--	200	added ('OK')	application/pdf	etag:%22378a483eb0b4a6bd62b0c29b262755b1%22	https://www.yunajong.com/_files/ugd/864260_9ba799d4c2e645e58ce4cb8d25950bd4.pdf	./yunajong-full/www.yunajong.com/_files/ugd/Prioritised%20Funtion%20List.pdf_;%20filename_=UTF-8''Prioritised%20Funtion%20List.pdf	(from https://www.yunajong.com/3d-virtual-fitting-design)
16:30:55	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Dec%202025%2007:30:55%20GMT	https://www.yunajong.com/%22https://static.wixstatic.com/media/864260_4285aa4ae74141d2ae0b2df5ffa271eb~mv2.jpg/v1/fill/w_1280,h_720,enc_auto/file.jpeg%22	./yunajong-full/www.yunajong.com/_https_/static.wixstatic.com/media/864260_4285aa4ae74141d2ae0b2df5ffa271eb_mv2.jpg/v1/fill/w_1280,h_720,enc_auto/file.33.delayed	(from https://www.yunajong.com/3d-virtual-fitting-cms)
16:34:40	10888130/10888130	---M--	200	added ('OK')	application/pdf	etag:%225b0bffe68cc836abfa3d2198d6007faa%22	https://www.yunajong.com/_files/ugd/864260_2ea2da54462d43c5b5b8f103d5ae9ed3.pdf	./yunajong-full/www.yunajong.com/_files/ugd/api1.4.2_mobile.pdf_;%20filename_=UTF-8''api1.4.2_mobile.pdf	(from https://www.yunajong.com/3d-virtual-fitting-design)
16:34:41	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Dec%202025%2007:34:41%20GMT	https://www.yunajong.com/%22https://static.wixstatic.com/media/864260_67c0ce95a1c1429a8798fb56705d8022~mv2.jpg/v1/fill/w_1280,h_720,enc_auto/file.jpeg%22	./yunajong-full/www.yunajong.com/_https_/static.wixstatic.com/media/864260_67c0ce95a1c1429a8798fb56705d8022_mv2.jpg/v1/fill/w_1280,h_720,enc_auto/file.35.delayed	(from https://www.yunajong.com/firefox-10th-anniversary)
16:34:42	13961266/13961266	---M--	200	added ('OK')	application/pdf	etag:%228e4c24125646b72f80aee3d9f473c88c%22	https://www.yunajong.com/_files/ugd/864260_76823e12723040b4bd0b1c0f3fd97254.pdf	./yunajong-full/www.yunajong.com/_files/ugd/api1.4.2_web.pdf_;%20filename_=UTF-8''api1.4.2_web.pdf	(from https://www.yunajong.com/3d-virtual-fitting-design)
16:34:42	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Dec%202025%2007:34:42%20GMT	https://www.yunajong.com/%22https://i.vimeocdn.com/video/621214585-39966ccf90675246ebc781cb44eeeb283e946de779599bd12cb27d9c8385073e-d_1920x1080%22	./yunajong-full/www.yunajong.com/_https_/i.vimeocdn.com/video/621214585-39966ccf90675246ebc781cb44eeeb283e946de779599bd12cb27d9c8385073e-d_1920x1080_.36.delayed	(from https://www.yunajong.com/firefox-10th-anniversary)
16:34:43	4778762/4778762	---M--	200	added ('OK')	application/pdf	etag:%22909a1aed5770a37d0b2d20419b02e684%22	https://www.yunajong.com/_files/ugd/864260_a0d4b29901f142cbb49b97909f059fac.pdf	./yunajong-full/www.yunajong.com/_files/ugd/CMS_wireframe.pdf_;%20filename_=UTF-8''CMS_wireframe.pdf	(from https://www.yunajong.com/3d-virtual-fitting-cms)
16:34:43	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Dec%202025%2007:34:43%20GMT	https://www.yunajong.com/%22https://i.vimeocdn.com/video/621755209-91a5eb8e32e31233c29e8aaadffee92dc3adef7f49e7a01edeb0c006a9601773-d_1920x1080%22	./yunajong-full/www.yunajong.com/_https_/i.vimeocdn.com/video/621755209-91a5eb8e32e31233c29e8aaadffee92dc3adef7f49e7a01edeb0c006a9601773-d_1920x1080_.37.delayed	(from https://www.yunajong.com/firefox-29)
16:34:43	25941817/25941817	---M--	200	added ('OK')	application/pdf	etag:%226e3c1cc99afed75a560457c90d1faf7b%22	https://www.yunajong.com/_files/ugd/864260_ce80fc2a71144849b4cc2766ee77a726.pdf	./yunajong-full/www.yunajong.com/_files/ugd/mg88_v2_cms_2024.pdf_;%20filename_=UTF-8''mg88_v2_cms_2024.pdf	(from https://www.yunajong.com/customer-hub)
16:34:44	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Dec%202025%2007:34:44%20GMT	https://www.yunajong.com/%22https://static.wixstatic.com/media/864260_dda83405d5804a0488f054fd3ef45e81~mv2.png/v1/fill/w_1280,h_720,enc_auto/file.jpeg%22	./yunajong-full/www.yunajong.com/_https_/static.wixstatic.com/media/864260_dda83405d5804a0488f054fd3ef45e81_mv2.png/v1/fill/w_1280,h_720,enc_auto/file.38.delayed	(from https://www.yunajong.com/homspital)
16:34:45	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Dec%202025%2007:34:45%20GMT	https://www.yunajong.com/%22https://i.vimeocdn.com/video/494958976-ad7d3ea4f5e60367626e4c9e890ed9f616d544742cce29f4132db30bd20064b6-d_1920x1080%22	./yunajong-full/www.yunajong.com/_https_/i.vimeocdn.com/video/494958976-ad7d3ea4f5e60367626e4c9e890ed9f616d544742cce29f4132db30bd20064b6-d_1920x1080_.39.delayed	(from https://www.yunajong.com/firefox-anywhere)
16:34:46	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Dec%202025%2007:34:46%20GMT	https://www.yunajong.com/%22https://i.vimeocdn.com/video/621208639-1715effa2aede9a8a31c2027fdbe4fbca8fbe2b82031b9f123f475ec31564f66-d_1920x1080%22	./yunajong-full/www.yunajong.com/_https_/i.vimeocdn.com/video/621208639-1715effa2aede9a8a31c2027fdbe4fbca8fbe2b82031b9f123f475ec31564f66-d_1920x1080_.3a.delayed	(from https://www.yunajong.com/firefox-anywhere)
16:34:47	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Dec%202025%2007:34:47%20GMT	https://www.yunajong.com/%22https://static.wixstatic.com/media/864260_1a8864bedc414d0a945100e0b0516330~mv2.jpg/v1/fill/w_1280,h_720,enc_auto/file.jpeg%22	./yunajong-full/www.yunajong.com/_https_/static.wixstatic.com/media/864260_1a8864bedc414d0a945100e0b0516330_mv2.jpg/v1/fill/w_1280,h_720,enc_auto/file.3b.delayed	(from https://www.yunajong.com/wood-supply-chain-service-design)
16:34:48	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Dec%202025%2007:34:48%20GMT	https://www.yunajong.com/%22https://static.wixstatic.com/media/864260_47fd6be31d4e4d66a43998e5cd4041de~mv2.jpg/v1/fill/w_1280,h_720,enc_auto/file.jpeg%22	./yunajong-full/www.yunajong.com/_https_/static.wixstatic.com/media/864260_47fd6be31d4e4d66a43998e5cd4041de_mv2.jpg/v1/fill/w_1280,h_720,enc_auto/file.3c.delayed	(from https://www.yunajong.com/travel-book)
16:34:55	32651244/32651244	UR-M--	200	added ('Partial%20Content')	application/pdf	etag:%221675cf7928845bf07ace563831649fd4%22	https://www.yunajong.com/_files/ugd/864260_99f65fee39184f44b4852cc154e23794.pdf	./yunajong-full/www.yunajong.com/_files/ugd/Resking.pdf_;%20filename_=UTF-8''Resking.pdf	(from https://www.yunajong.com/visual-strategy-ai-driven-design)
